Estação de origem,Estação de Destino,contagem_viagens
102 Sul,102 Sul,96
102 Sul,Banco Central,8
102 Sul,Brasil 21,40
102 Sul,Brasília Shopping,2
102 Sul,CLN 204,5
102 Sul,CLN 403,11
102 Sul,CLN 406,1
102 Sul,CNMP - Conselho Nacional do Ministério Público,19
102 Sul,Catedral Metropolitana,12
102 Sul,Centro Olímpico,1
102 Sul,Centro de Convenções,4
102 Sul,Deck Sul,2
102 Sul,EQN 104/105,4
102 Sul,EQN 408/409,1
102 Sul,EQN 410/411,6
102 Sul,EQS 104/304,36
102 Sul,EQS 202 / 203,20
102 Sul,EQS 204/205,53
102 Sul,Galeria,38
102 Sul,ICC Sul,2
102 Sul,INMETRO,3
102 Sul,Instituto de Artes,1
102 Sul,Liberty Mall,2
102 Sul,Memorial JK,3
102 Sul,Ministério da Cultura,3
102 Sul,Ministério da Saude,10
102 Sul,Ministério dos Transportes,1
102 Sul,PAT,1
102 Sul,Praça Buriti,1
102 Sul,Praça do Povo,9
102 Sul,Rodoviária,24
102 Sul,Rodoviária 2,14
102 Sul,Rodoviária 3,12
102 Sul,SAS,1
102 Sul,SQN 205,4
102 Sul,SQS 305,54
102 Sul,SRTVS,31
102 Sul,STF,8
102 Sul,Setor Hoteleiro Norte,6
102 Sul,Shopping Mall,134
102 Sul,Shopping Pátio Brasil,5
102 Sul,TSE,17
102 Sul,Torre de TV,3
102 Sul,W2/EQN305/306,2
Banco Central,102 Sul,21
Banco Central,Banco Central,35
Banco Central,Brasil 21,3
Banco Central,Brasília Shopping,5
Banco Central,CLN 204,2
Banco Central,CLN 403,11
Banco Central,CLN 406,6
Banco Central,CNMP - Conselho Nacional do Ministério Público,39
Banco Central,Catedral Metropolitana,4
Banco Central,Centro Olímpico,3
Banco Central,Centro de Convenções,1
Banco Central,EQN 104/105,16
Banco Central,EQN 408/409,9
Banco Central,EQN 410/411,23
Banco Central,EQS 104/304,10
Banco Central,EQS 202 / 203,35
Banco Central,EQS 204/205,55
Banco Central,Galeria,18
Banco Central,ICC Sul,8
Banco Central,INMETRO,2
Banco Central,Instituto de Artes,4
Banco Central,Liberty Mall,7
Banco Central,Memorial JK,3
Banco Central,Ministério da Cultura,19
Banco Central,Ministério da Defesa,12
Banco Central,Ministério da Saude,21
Banco Central,Ministério do Planejamento,14
Banco Central,Praça Buriti,1
Banco Central,Praça do Povo,8
Banco Central,Rodoviária,14
Banco Central,Rodoviária 2,16
Banco Central,Rodoviária 3,6
Banco Central,SAS,2
Banco Central,SQN 205,6
Banco Central,SQS 305,12
Banco Central,SRTVS,20
Banco Central,STF,14
Banco Central,Setor Hoteleiro Norte,20
Banco Central,Shopping Mall,7
Banco Central,Shopping Pátio Brasil,24
Banco Central,TSE,44
Banco Central,W2/EQN305/306,4
Biblioteca Central,102 Sul,1
Biblioteca Central,Biblioteca Central,72
Biblioteca Central,CLN 204,14
Biblioteca Central,CLN 403,14
Biblioteca Central,CLN 406,49
Biblioteca Central,Catedral Metropolitana,3
Biblioteca Central,Centro Olímpico,80
Biblioteca Central,EQN 104/105,2
Biblioteca Central,EQN 408/409,44
Biblioteca Central,EQN 410/411,38
Biblioteca Central,EQS 204/205,1
Biblioteca Central,Galeria,2
Biblioteca Central,ICC Sul,69
Biblioteca Central,INMETRO,4
Biblioteca Central,Instituto de Artes,69
Biblioteca Central,Liberty Mall,1
Biblioteca Central,Ministério da Cultura,2
Biblioteca Central,PAT,43
Biblioteca Central,Rodoviária,9
Biblioteca Central,Rodoviária 2,5
Biblioteca Central,Rodoviária 3,1
Biblioteca Central,SQN 205,12
Biblioteca Central,SQS 305,1
Biblioteca Central,W2/EQN305/306,6
Brasil 21,102 Sul,19
Brasil 21,Banco Central,2
Brasil 21,Biblioteca Central,1
Brasil 21,Brasil 21,1296
Brasil 21,Brasília Shopping,12
Brasil 21,CLN 204,5
Brasil 21,CLN 403,10
Brasil 21,CLN 406,7
Brasil 21,Catedral Metropolitana,14
Brasil 21,Centro de Convenções,33
Brasil 21,EQN 104/105,10
Brasil 21,EQN 408/409,17
Brasil 21,EQN 410/411,8
Brasil 21,EQS 104/304,18
Brasil 21,EQS 202 / 203,10
Brasil 21,EQS 204/205,10
Brasil 21,Galeria,49
Brasil 21,ICC Sul,3
Brasil 21,INMETRO,5
Brasil 21,Instituto de Artes,9
Brasil 21,Liberty Mall,3
Brasil 21,Memorial JK,46
Brasil 21,Ministério da Cultura,4
Brasil 21,Ministério da Defesa,2
Brasil 21,Ministério da Saude,2
Brasil 21,Ministério do Planejamento,8
Brasil 21,Ministério dos Transportes,1
Brasil 21,PAT,2
Brasil 21,Praça Buriti,9
Brasil 21,Praça do Povo,16
Brasil 21,Rodoviária,49
Brasil 21,Rodoviária 2,46
Brasil 21,Rodoviária 3,115
Brasil 21,SAS,2
Brasil 21,SQN 205,4
Brasil 21,SQS 305,40
Brasil 21,SRTVS,121
Brasil 21,STF,12
Brasil 21,Setor Hoteleiro Norte,24
Brasil 21,Shopping Mall,11
Brasil 21,Shopping Pátio Brasil,55
Brasil 21,TSE,5
