country,continent,year,lifeExp,pop,gdpPercap,std_pop
Afghanistan,Asia,1952,28.801,8425333,779.4453145,1637.6406163412457
Afghanistan,Asia,1957,30.331999999999997,9240934,820.8530296,1715.0745318416696
Afghanistan,Asia,1962,31.997,10267083,853.1007099999999,1807.7925824522933
Afghanistan,Asia,1967,34.02,11537966,836.1971382,1916.4155719082555
Afghanistan,Asia,1972,36.088,13079460,739.9811057999999,2040.4218740117062
Afghanistan,Asia,1977,38.438,14880372,786.11336,2176.3661267563566
Afghanistan,Asia,1982,39.854,12881816,978.0114388000001,2024.946760979294
Afghanistan,Asia,1987,40.821999999999996,13867957,852.3959447999999,2101.0254197109807
Afghanistan,Asia,1992,41.674,16317921,649.3413952000001,2279.0690152485704
Afghanistan,Asia,1997,41.763000000000005,22227415,635.341351,2659.9259273163757
Afghanistan,Asia,2002,42.129,25268405,726.7340548,2836.050620069382
Afghanistan,Asia,2007,43.828,31889923,974.5803384,3186.044218233615
Albania,Europe,1952,55.23,1282697,1601.056136,638.9797618690984
Albania,Europe,1957,59.28,1476505,1942.2842440000002,685.5553504275186
Albania,Europe,1962,64.82,1728137,2312.888958,741.6758670605357
Albania,Europe,1967,66.22,1984060,2760.196931,794.6986301622848
Albania,Europe,1972,67.69,2263554,3313.422188,848.8295565723805
Albania,Europe,1977,68.93,2509048,3533.0039100000004,893.6748756173397
Albania,Europe,1982,70.42,2780097,3630.880722,940.7084349839209
Albania,Europe,1987,72.0,3075321,3738.9327350000003,989.3963197266409
Albania,Europe,1992,71.581,3326498,2497.4379010000002,1029.007871578545
Albania,Europe,1997,72.95,3428038,3193.054604,1044.5948428044767
Albania,Europe,2002,75.65100000000001,3508512,4604.211737,1056.7847725031165
Albania,Europe,2007,76.423,3600523,5937.029525999999,1070.5522249438
Algeria,Africa,1952,43.077,9279525,2449.008185,1718.6519562115072
Algeria,Africa,1957,45.685,10270856,3013.976023,1808.1247203581129
Algeria,Africa,1962,48.303000000000004,11000948,2550.81688,1871.2857894490087
Algeria,Africa,1967,51.407,12760499,3246.991771,2015.3890404431534
Algeria,Africa,1972,54.518,14760787,4182.663766,2167.603383913482
Algeria,Africa,1977,58.013999999999996,17152804,4910.4167560000005,2336.644407900541
Algeria,Africa,1982,61.368,20033753,5745.160213,2525.260706791316
Algeria,Africa,1987,65.79899999999999,23254956,5681.358539,2720.7135824208067
Algeria,Africa,1992,67.744,26298373,5023.216647,2893.2735986160856
Algeria,Africa,1997,69.152,29072015,4797.295051,3042.023962065956
Algeria,Africa,2002,70.994,31287142,5288.040382,3155.789379701392
Algeria,Africa,2007,72.301,33333216,6223.367465,3257.344346411615
Angola,Africa,1952,30.015,4232095,3520.610273,1160.6539870990794
Angola,Africa,1957,31.999000000000002,4561361,3827.9404649999997,1204.9590452597058
Angola,Africa,1962,34.0,4826015,4269.276742,1239.4225612644248
Angola,Africa,1967,35.985,5247469,5522.776375,1292.4090916358373
Angola,Africa,1972,37.928000000000004,5894858,5473.288004999999,1369.8144323409679
Angola,Africa,1977,39.483000000000004,6162675,3008.647355,1400.5857267006872
Angola,Africa,1982,39.942,7016384,2756.953672,1494.4512010975034
Angola,Africa,1987,39.906,7874230,2430.208311,1583.175686740101
Angola,Africa,1992,40.647,8735988,2627.8456850000002,1667.558498519006
Angola,Africa,1997,40.963,9875024,2277.140884,1772.9404292029108
Angola,Africa,2002,41.003,10866106,2773.287312,1859.7819668232632
Angola,Africa,2007,42.731,12420476,4797.231267,1988.356180846003
Argentina,Americas,1952,62.485,17876956,5911.315053,2385.4584108033896
Argentina,Americas,1957,64.399,19610538,6856.856212000001,2498.445140238805
Argentina,Americas,1962,65.142,21283783,7133.166023000001,2602.8520019952152
Argentina,Americas,1967,65.634,22934225,8052.953020999999,2701.8864797514066
Argentina,Americas,1972,67.065,24779799,9443.038526,2808.496928847744
Argentina,Americas,1977,68.48100000000001,26983828,10079.026740000001,2930.736975486368
Argentina,Americas,1982,69.942,29341374,8997.897412,3056.084000549729
Argentina,Americas,1987,70.774,31620918,9139.671389,3172.5779438190293
Argentina,Americas,1992,71.868,33958947,9308.41871,3287.775624109921
Argentina,Americas,1997,73.275,36203463,10967.28195,3394.6899986580624
Argentina,Americas,2002,74.34,38331121,8797.640716,3493.018002073151
Argentina,Americas,2007,75.32,40301927,12779.379640000001,3581.689796221532
Australia,Oceania,1952,69.12,8691212,10039.595640000001,1663.279502224204
Australia,Oceania,1957,70.33,9712569,10949.64959,1758.2965429478083
Australia,Oceania,1962,70.93,10794968,12217.226859999999,1853.6841789899547
Australia,Oceania,1967,71.1,11872264,14526.12465,1943.9801960369646
Australia,Oceania,1972,71.93,13177000,16788.62948,2048.0159594699962
Australia,Oceania,1977,73.49,14074100,18334.197509999998,2116.583371648584
Australia,Oceania,1982,74.74,15184200,19477.009280000002,2198.4724182467958
Australia,Oceania,1987,76.32,16257249,21888.889030000002,2274.8281427069487
Australia,Oceania,1992,77.56,17481977,23424.76683,2358.958691698023
Australia,Oceania,1997,78.83,18565243,26997.936569999998,2430.9463972503418
Australia,Oceania,2002,80.37,19546792,30687.75473,2494.3811129773712
Australia,Oceania,2007,81.235,20434176,34435.367439999995,2550.3725682377362
Austria,Europe,1952,66.8,6927772,6137.076492,1484.9842816768305
Austria,Europe,1957,67.48,6965860,8842.59803,1489.0608126507864
Austria,Europe,1962,69.54,7129864,10750.721109999999,1506.4880345843794
Austria,Europe,1967,70.14,7376998,12834.6024,1532.3744300131257
Austria,Europe,1972,70.63,7544201,16661.6256,1549.6431078340715
Austria,Europe,1977,72.17,7568430,19749.4223,1552.1295345073447
