Estação de origem,Estação de Destino,contagem_viagens,contagem_acumulada,rank,freq_acumulada
Brasil 21,Brasil 21,1296,1296,1,2.797867058137778
ICC Sul,Centro Olímpico,640,1936,2,4.179529802897174
Instituto de Artes,Centro Olímpico,623,2559,3,5.524492130998899
Centro Olímpico,ICC Sul,587,3146,4,6.791735929707908
Deck Sul,Deck Sul,475,3621,5,7.817188748084022
Centro Olímpico,Instituto de Artes,458,4079,6,8.805941149802464
Ministério da Saude,Rodoviária 2,387,4466,7,9.641415340774163
EQN 408/409,Instituto de Artes,378,4844,8,10.45745989939768
Instituto de Artes,EQN 408/409,369,5213,9,11.25407482567302
CLN 406,Instituto de Artes,320,5533,10,11.94490619805272
EQN 410/411,EQN 410/411,320,5853,11,12.635737570432418
Instituto de Artes,CLN 406,277,6130,12,13.233738477148593
Instituto de Artes,EQN 410/411,276,6406,13,13.829580535826084
EQN 410/411,Instituto de Artes,275,6681,14,14.423263746464887
Rodoviária 2,Ministério da Saude,270,6951,15,15.006152716910256
CLN 406,EQN 408/409,269,7220,16,15.58688283931694
EQN 408/409,CLN 406,266,7486,17,16.161136417607562
CLN 406,EQN 410/411,264,7750,18,16.731072299820816
EQN 410/411,CLN 406,264,8014,19,17.301008182034067
Rodoviária,Ministério da Saude,236,8250,20,17.810496319164095
Ministério da Cultura,Rodoviária 2,232,8482,21,18.311349064139375
EQN 408/409,EQN 410/411,232,8714,22,18.812201809114658
Ministério da Defesa,Rodoviária,230,8944,23,19.308736858012566
EQN 408/409,EQN 408/409,228,9172,24,19.800954210833098
EQN 410/411,EQN 408/409,227,9399,25,20.291012715614947
EQS 204/205,EQS 204/205,219,9618,26,20.763800436087305
Rodoviária,Ministério dos Transportes,215,9833,27,21.227952764404915
Ministério dos Transportes,Rodoviária,215,10048,28,21.692105092722525
Deck Sul Kids,Deck Sul Kids,202,10250,29,22.12819239653721
Ministério do Planejamento,Rodoviária,198,10448,30,22.555644308197145
CLN 406,ICC Sul,194,10642,31,22.97446082770234
Centro Olímpico,Centro Olímpico,192,10834,32,23.388959651130158
Ministério da Saude,Rodoviária,187,11021,33,23.792664234364544
Instituto de Artes,PAT,187,11208,34,24.19636881759893
Rodoviária 3,Ministério da Saude,185,11393,35,24.59575570475594
Ministério da Cultura,Rodoviária,183,11576,36,24.99082489583558
STF,Rodoviária 2,180,11756,37,25.37941754279916
CLN 406,PAT,177,11933,38,25.761533645646683
Rodoviária,Ministério do Planejamento,175,12108,39,26.13933205241683
PAT,CLN 406,172,12280,40,26.510653915070918
PAT,Instituto de Artes,172,12452,41,26.881975777725003
PAT,ICC Sul,170,12622,42,27.24897994430172
ICC Sul,ICC Sul,169,12791,43,27.613825262839747
Torre de TV,Torre de TV,169,12960,44,27.97867058137778
Instituto de Artes,Instituto de Artes,163,13123,45,28.330562811683684
EQN 408/409,PAT,161,13284,46,28.67813734591222
Rodoviária,Ministério da Cultura,160,13444,47,29.023553032102072
Centro de Convenções,Rodoviária 3,158,13602,48,29.364651022214545
W2/EQN305/306,Instituto de Artes,154,13756,49,29.697113620172278
Praça Buriti,Rodoviária 3,154,13910,50,30.029576218130003
SRTVS,Brasil 21,151,14061,51,30.355562271971674
CLN 406,CLN 406,150,14211,52,30.67938947777466
Rodoviária 2,Ministério da Cultura,148,14359,53,30.99889898750027
CLN 204,CLN 204,147,14506,54,31.316249649187196
CLN 406,Centro Olímpico,146,14652,55,31.63144146283543
Instituto de Artes,ICC Sul,144,14796,56,31.942315580406294
Rodoviária,Ministério da Defesa,144,14940,57,32.253189697977156
Catedral Metropolitana,Rodoviária 2,144,15084,58,32.564063815548025
ICC Sul,PAT,142,15226,59,32.870620237041514
Rodoviária 2,STF,141,15367,60,33.17501781049632
Catedral Metropolitana,Catedral Metropolitana,140,15507,61,33.47725653591244
CLN 403,CLN 406,138,15645,62,33.77517756525118
CLN 406,CLN 403,138,15783,63,34.07309859458993
102 Sul,Shopping Mall,134,15917,64,34.36238423177392
CNMP - Conselho Nacional do Ministério Público,Rodoviária 2,134,16051,65,34.651669868957924
SRTVS,Galeria,133,16184,66,34.938796658103236
Memorial JK,Rodoviária 3,133,16317,67,35.22592344724855
Centro Olímpico,Biblioteca Central,129,16446,68,35.504414844239115
TSE,Rodoviária 2,128,16574,69,35.78074739319099
Memorial JK,Memorial JK,125,16699,70,36.050603398026816
Rodoviária 3,Ministério da Cultura,123,16822,71,36.31614170678526
EQN 104/105,EQN 104/105,123,16945,72,36.581680015543704
W2/EQN305/306,SQN 205,123,17068,73,36.84721832430215
Brasil 21,SRTVS,121,17189,74,37.10843893698323
PAT,EQN 408/409,121,17310,75,37.3696595496643
Instituto de Artes,Biblioteca Central,121,17431,76,37.63088016234537
EQN 410/411,PAT,120,17551,77,37.88994192698776
SQS 305,SQS 305,119,17670,78,38.14684484359146
Setor Hoteleiro Norte,Rodoviária 3,118,17788,79,38.40158891215648
PAT,Centro Olímpico,118,17906,80,38.65633298072149
CLN 403,CLN 403,116,18022,81,38.906759353209125
Brasil 21,Rodoviária 3,115,18137,82,39.15502687765808
ICC Sul,CLN 406,114,18251,83,39.401135554068354
Rodoviária 2,Ministério dos Transportes,114,18365,84,39.64724423047862
Shopping Pátio Brasil,Rodoviária 3,110,18475,85,39.884717514734135
SQN 205,Instituto de Artes,110,18585,86,40.12219079898966
EQN 408/409,ICC Sul,109,18694,87,40.35750523520649
Rodoviária 3,Ministério do Planejamento,109,18803,88,40.59281967142333
SQN 205,ICC Sul,108,18911,89,40.82597525960148
STF,Rodoviária,108,19019,90,41.05913084777962
Brasília Shopping,Rodoviária 3,106,19125,91,41.2879687398804
Centro Olímpico,PAT,105,19230,92,41.514647783942486
ICC Sul,EQN 408/409,104,19334,93,41.73916797996589
Rodoviária 2,Ministério do Planejamento,104,19438,94,41.9636881759893
Catedral Metropolitana,STF,103,19541,95,42.186049523974006
ICC Sul,Instituto de Artes,102,19643,96,42.40625202392004
INMETRO,EQN 104/105,101,19744,97,42.624295675827376
EQS 202 / 203,EQS 202 / 203,101,19845,98,42.84233932773472
Centro de Convenções,Centro de Convenções,100,19945,99,43.05822413160338
EQN 408/409,Centro Olímpico,100,20045,100,43.274108935472036
Shopping Pátio Brasil,Galeria,98,20143,101,43.48567604326332
PAT,PAT,98,20241,102,43.6972431510546
Torre de TV,Brasil 21,98,20339,103,43.90881025884588
Rodoviária 2,Ministério da Defesa,97,20436,104,44.118218518598475
Shopping Mall,102 Sul,97,20533,105,44.32762677835107
SQN 205,SQN 205,97,20630,106,44.53703503810367
102 Sul,102 Sul,96,20726,107,44.74428444981758
INMETRO,INMETRO,96,20822,108,44.95153386153149
Ministério da Cultura,Ministério da Cultura,94,20916,109,45.154465577168025
Rodoviária,Rodoviária,93,21009,110,45.355238444765874
ICC Sul,Biblioteca Central,93,21102,111,45.55601131236372
Centro Olímpico,CLN 406,93,21195,112,45.75678417996157
CLN 204,SQN 205,92,21287,113,45.95539819952074
